City,Average Weekly Workplace Earnings 2016  (£),Claimant Count Sep 2017  (%),CO2 Emissions per Capita 2014  (tons),Commuting by Bicycle 2011  (%),"Commuting by Bus, Train or Metro 2011  (%)",Commuting by Other Methods 2011  (%),Commuting by Private Vehicle 2011  (%),Commuting on Foot 2011  (%),Employment Rate 2015  (%),Households in Social Rentership 2011  (%),Households Renting Privately or Living Rent-Free 2011  (%),Households that Own or Part-Own Their Home 2011  (%),Mean house price  2016  (£),Population 2015,Total Jobs 2015
Oxford,575.5,0.93,4.790887,17.06848883,18.56117581,0.498517341,36.62240176,16.81063504,74.5,21.35981941,30.18510158,48.45507901,491910.7274,159600,120100
London,696.8,1.92,4.3977273,3.620754753,44.63330245,0.503907796,33.54905209,8.011565326,73.7,22.75921225,24.9585549,52.28223285,561436.5969,9896000,5477600
Belfast,504,2.81,6.0171626,1.662755758,11.89624234,0.598846901,66.14391438,11.7406908,68.002,21.84941072,18.06277731,60.08781197, ,479100, 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,
Average Weekly Workplace Earnings,,,,,,,,,,,,,,,
Average Weekly Workplace Earnings,,,,,,,,,,,,,,,
Average Weekly Workplace Earnings,,,,,,,,,,,,,,,
Business Churn Rate,,,,,,,,,,,,,,,
Business Closures,,,,,,,,,,,,,,,
Business Start-ups,,,,,,,,,,,,,,,
Business stock,,,,,,,,,,,,,,,
CO2 Emissions per Capita,,,,,,,,,,,,,,,
Claimant Count,,,,,,,,,,,,,,,
Commuting by Bicycle,,,,,,,,,,,,,,,
"Commuting by Bus, Train or Metro",,,,,,,,,,,,,,,
Commuting by Other Methods,,,,,,,,,,,,,,,
Commuting by Private Vehicle,,,,,,,,,,,,,,,
Commuting on Foot,,,,,,,,,,,,,,,
Employment Rate,,,,,,,,,,,,,,,
Employment Rate,,,,,,,,,,,,,,,
Employment Rate,,,,,,,,,,,,,,,
Exports per job,,,,,,,,,,,,,,,
GVA per Worker,,,,,,,,,,,,,,,
Gini coefficient,,,,,,,,,,,,,,,
Goods exports per job,,,,,,,,,,,,,,,
Households Renting Privately or Living Rent-Free,,,,,,,,,,,,,,,
Households in Social Rentership,,,,,,,,,,,,,,,
Households that Own or Part-Own Their Home,,,,,,,,,,,,,,,
Housing Affordability Ratio,,,,,,,,,,,,,,,
Housing Affordability Ratio,,,,,,,,,,,,,,,
Housing stock,,,,,,,,,,,,,,,
Manufacturing,,,,,,,,,,,,,,,
Mean house price ,,,,,,,,,,,,,,,
Other Private Services,,,,,,,,,,,,,,,
Other Sectors,,,,,,,,,,,,,,,
Patent Applications,,,,,,,,,,,,,,,
People Born Outside the UK,,,,,,,,,,,,,,,
People who Work from Home,,,,,,,,,,,,,,,
Population Aged 20-29,,,,,,,,,,,,,,,
Population Aged 30-44,,,,,,,,,,,,,,,
Population Aged 45-64,,,,,,,,,,,,,,,
Private Knowledge Intensive Business Services,,,,,,,,,,,,,,,
Private Sector Jobs,,,,,,,,,,,,,,,
Public Services,,,,,,,,,,,,,,,
Publicly funded jobs,,,,,,,,,,,,,,,
Pupils Achieving 5A*-C GCSEs inc. Maths & Eng.,,,,,,,,,,,,,,,
Ratio of Private to Public Sector Employment,,,,,,,,,,,,,,,
Services exports per job,,,,,,,,,,,,,,,
Total Jobs,,,,,,,,,,,,,,,
Total welfare spend,,,,,,,,,,,,,,,
Ultrafast Broadband,,,,,,,,,,,,,,,
Welfare Spend Per Capita,,,,,,,,,,,,,,,
Working Age Population with No Formal Qualifications,,,,,,,,,,,,,,,
Working Age Population with a Qualification at NVQ4 or Above,,,,,,,,,,,,,,,
Youth Claimant Count,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data generated from: http://www.centreforcities.org/data-tool/su/6d5b08f4,,,,,,,,,,,,,,,
